,,1960100000,1961100000,1962100000,1963100000,1964100000,1965100000,1966100000,1967100000,1968100000,1969100000,1970100000,1971100000,1972100000,1973100000,1974100000,1975100000,1976100000,1977100000,1978100000,1979100000,1980100000,1981100000,1982100000,1983100000,1984100000,1985100000,1986100000,1987100000,1988100000,1989100000,1990100000,1991100000,1992100000,1993100000,1994100000,1995100000,1996100000,1997100000,1998100000,1999100000,2000100000,2001100000,2002100000,2003100000,2004100000,2005100000,2006100000,2007100000,2008100000,2009100000,2010100000,2011100000,2012100000,2013100000,2014100000,2015100000,2016100000,2017100000,2018100000,2019100000,2020100000,2021100000,2022100000,2023100000,2024100000
食料需給_項目,類別・品目別,1960年度,1961年度,1962年度,1963年度,1964年度,1965年度,1966年度,1967年度,1968年度,1969年度,1970年度,1971年度,1972年度,1973年度,1974年度,1975年度,1976年度,1977年度,1978年度,1979年度,1980年度,1981年度,1982年度,1983年度,1984年度,1985年度,1986年度,1987年度,1988年度,1989年度,1990年度,1991年度,1992年度,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度,2001年度,2002年度,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度,2022年度,2023年度,2024年度
"輸入量【1,000トン】",いも類,0,0,0,0,0,0,0,0,0,0,0,0,6,10,11,28,82,125,238,216,211,190,194,186,183,200,257,323,411,400,399,471,480,534,606,683,724,707,772,833,831,785,768,791,813,892,919,932,911,963,"1,024","1,080","1,100","1,048",970,"1,036","1,070","1,154","1,159","1,179","1,099","1,140","1,292","1,148","1,233"
"輸入量【1,000トン】",いも類_かんしょ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,3,2,1,3,6,5,9,11,20,43,61,70,85,84,64,42,67,65,71,72,78,62,58,63,63,55,56,47,52,35,32,29
"輸入量【1,000トン】",いも類_ばれいしょ,0,0,0,0,0,0,0,0,0,0,0,0,6,10,11,28,82,125,238,216,211,190,194,186,183,200,257,323,411,400,392,469,477,531,604,682,721,701,767,824,820,765,725,730,743,807,835,868,869,896,959,"1,009","1,028",970,908,978,"1,007","1,091","1,104","1,123","1,052","1,088","1,257","1,116","1,204"
"輸入量【1,000トン】",でん粉,1,1,35,1,3,4,45,27,33,25,41,59,77,97,101,83,91,73,101,80,67,74,86,87,111,130,117,119,123,130,104,131,138,167,147,108,126,120,109,115,155,161,140,153,159,137,155,130,134,140,129,144,147,140,140,134,141,158,140,151,143,141,147,147,148
"輸入量【1,000トン】",豆類,"1,181","1,258","1,382","1,791","1,816","2,060","2,411","2,370","2,635","2,850","3,465","3,485","3,617","3,860","3,427","3,588","3,876","3,881","4,495","4,405","4,705","4,537","4,640","5,323","4,806","5,202","5,139","5,091","5,019","4,682","4,977","4,659","5,081","5,415","5,114","5,126","5,191","5,364","5,066","5,206","5,165","5,177","5,387","5,510","4,754","4,482","4,377","4,458","3,991","3,679","3,748","3,134","3,015","3,038","3,102","3,511","3,405","3,511","3,533","3,645","3,411","3,464","3,969","3,303","3,335"
"輸入量【1,000トン】",豆類_大豆,"1,081","1,176","1,284","1,617","1,607","1,847","2,168","2,170","2,421","2,591","3,244","3,212","3,399","3,635","3,244","3,334","3,554","3,602","4,260","4,132","4,401","4,197","4,344","4,995","4,515","4,910","4,817","4,797","4,685","4,346","4,681","4,331","4,725","5,031","4,731","4,813","4,870","5,057","4,751","4,884","4,829","4,832","5,039","5,173","4,407","4,181","4,042","4,161","3,711","3,390","3,456","2,831","2,727","2,762","2,828","3,243","3,131","3,218","3,236","3,359","3,139","3,224","3,704","3,071","3,093"
"輸入量【1,000トン】",豆類_その他の豆類,100,82,98,174,209,213,243,200,214,259,221,273,218,225,183,254,322,279,235,273,304,340,296,328,291,292,322,294,334,336,296,328,356,384,383,313,321,307,315,322,336,345,348,337,347,301,335,297,280,289,292,303,288,276,274,268,274,293,297,286,272,240,265,232,242
"輸入量【1,000トン】",野菜,16,14,16,19,19,42,32,53,85,85,98,139,211,276,360,230,283,316,453,482,495,613,666,768,970,866,962,"1,114","1,580","1,527","1,551","1,724","1,731","1,921","2,331","2,628","2,466","2,384","2,773","3,054","3,124","3,120","2,760","2,922","3,151","3,367","3,244","2,992","2,811","2,532","2,783","3,094","3,302","3,189","3,097","2,941","2,901","3,126","3,310","3,031","2,987","2,894","2,970","2,777","2,920"
"輸入量【1,000トン】",野菜_緑黄色野菜,0,0,1,1,1,3,0,2,1,7,11,10,61,94,145,52,65,134,167,181,218,146,151,257,400,380,412,435,565,615,639,667,680,704,916,"1,025",951,929,"1,063","1,255","1,274","1,274","1,134","1,152","1,234","1,446","1,415","1,406","1,353","1,176","1,224","1,415","1,640","1,633","1,522","1,461","1,429","1,595","1,664","1,545","1,610","1,538","1,540","1,459","1,554"
"輸入量【1,000トン】",野菜_その他の野菜,16,14,15,18,18,39,32,51,84,78,87,129,150,182,215,178,218,182,286,301,277,467,515,511,570,486,550,679,"1,015",912,912,"1,057","1,051","1,217","1,415","1,603","1,515","1,455","1,710","1,799","1,850","1,846","1,626","1,770","1,917","1,921","1,829","1,586","1,458","1,356","1,559","1,679","1,662","1,556","1,575","1,480","1,472","1,531","1,646","1,486","1,377","1,356","1,430","1,318","1,366"
"輸入量【1,000トン】",果実,118,191,245,403,567,573,689,763,934,"1,086","1,186","1,375","1,589","1,503","1,385","1,387","1,464","1,481","1,634","1,621","1,539","1,614","1,699","1,611","1,753","1,904","2,174","2,260","2,383","2,641","2,978","3,033","3,449","3,776","4,792","4,547","4,384","4,265","4,112","4,626","4,843","5,151","4,862","4,757","5,353","5,437","5,130","5,162","4,889","4,734","4,756","4,960","5,007","4,711","4,368","4,351","4,292","4,339","4,661","4,466","4,504","4,180","4,234","4,087","4,064"
"輸入量【1,000トン】",果実_うんしゅうみかん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
